00180;01103;
00494;
01103;
00742;
00922;00494;
01170;00494;
00449;
00269;00494;
00551;
00214;00494;
00304;
00089;
00461;00494;
00281;01103;
00438;00494;
00034;01103;
00720;00494;
00247;00494;
00584;00494;
00090;01103;
00517;00494;
00023;01103;
00719;00494;
00506;00494;
00607;00551;
00427;00742;
00450;00494;
00102;01103;
00292;00551;
00595;00304;
00270;00304;
00236;00494;00438;
00540;00494;00517;
00146;00551;
00078;00304;
00179;00551;
01125;
00900;
01136;
00933;
00168;
01080;
00865;01125;
01181;
01169;
00988;
01192;
00821;
00775;01125;
00764;01125;
00999;01125;
00753;01125;
01024;01125;
00977;01125;
01114;00900;
00528;01125;
00944;01125;
00573;01125;
01046;01125;
00843;01125;
00786;01136;
00876;01125;
00911;01136;
00731;01136;
00809;01125;00865;
00966;01192;
00562;01125;00528;
00797;01192;
01002;01125;00528;
01035;01125;00528;
00539;01125;01024;
00898;01125;01024;
